EnsemblID	patMutRate	matMutRate	pat_quant	mat_quant	male_CPM_log2geoMean	female_CPM_log2geoMean
ENSG00000140526	3.48407776461571e-05	0	2	3	2.43638617698545	3.21816324825622
ENSG00000158201	5.57227237267358e-05	0	3	3	3.02625227019543	3.09525005910734
ENSG00000100439	0	0	2	2	2.23800289745738	1.85073823566309
ENSG00000011198	0	0	4	4	4.65211799588636	4.7239900672429
ENSG00000163686	5.163777819853e-05	0	3	2	2.99564429726057	2.71028700298867
ENSG00000127220	0	0	2	2	1.08917463138922	1.47574788819882
ENSG00000136754	3.49815472338342e-05	1.74907736169171e-05	4	4	5.28122264283501	4.61834008911716
ENSG00000138443	2.51692632956633e-05	0	4	4	6.18036472297953	6.75507291346254
ENSG00000108798	0	7.81066937436538e-05	1	1	0.180008109815495	0.225667528358415
ENSG00000154175	4.91664242488804e-05	8.19440404148007e-06	1	1	0.0688998061143122	0.193888141807193
ENSG00000097007	4.0186926618672e-05	1.72229685508594e-05	2	2	2.51402332644006	2.43723534244089
ENSG00000143322	3.84154399336181e-05	0	4	3	4.69159193955604	3.75326736796716
ENSG00000099204	4.15980793572502e-05	2.97129138266073e-06	2	2	1.64510320011145	1.71648467975491
ENSG00000163995	4.68113657996161e-05	2.08050514664961e-05	2	2	1.79366739354655	1.66384629336552
ENSG00000173210	4.20309347679892e-05	0	2	2	1.01951758028485	1.60364294179836
ENSG00000175164	2.34725254090088e-05	4.69450508180175e-05	1	1	0.302380634784308	0.264904869324007
ENSG00000159842	6.35407636692068e-05	9.07725195274383e-06	3	3	2.6358348185494	2.92763227604455
ENSG00000174429	0	0	1	1	0.008474131481109	0
ENSG00000146386	0	0	4	4	5.03619587408299	5.32676347342359
ENSG00000146109	0	0	4	4	5.61300797584005	5.5215747351542
ENSG00000114626	0	0	3	3	3.82201704302238	3.08531760028292
ENSG00000166016	7.26518908865468e-05	9.68691878487291e-06	2	2	0.794737271116164	1.59565800131527
